Filename,ImageRef,Caption,Tags,License type,Username,Super Tags,Location,Date taken,Number of People,Model release,Is there property in this image?,Property release,Primary category,Secondary category,Image Type,Exclusive to Alamy,Additional Info,Status
"dsc_200175-dsc_200183.jpg","P74F9M","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Graubuenden,Chur,Spring,TEM,Reflection,Towers,Plänkis,West,Reflections,City,Graubünden,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_200001-dsc_200024.jpg","P74F98","Glass- and steel-covered space of the bus station in Chur, Graubünden","Schweiz,Graubünden,Chur,Busbahnhof,Switzerland,Swiss,Bus,Station,Roof,Skeleton,Girders,Frame,Scaffold,Sky,Open,Mountains,Alps,Town,Urban,Buses,Shadows,Geometry,Architecture,Glass,Covered,Light,Bright,Blue","RF","Elliott Bignell","","Chur","","0","NA","N","NA","Architecture and interiors","Transport","Photograph","N","","On sale"
"dsc_200160-dsc_200165.jpg","P74F9J","Reflection of Chur West towers on the TEM building,Graubünden, Switzerland","Schweiz,Graubünden,Chur,Graubuenden,Spring,TEM,Plankis,Reflections,Building,West,Windows,Towers,Offices,Reflective,Abstract,Geometric,Patter,Urban,Monochrome,Grisons,Swiss,Town","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Abstracts and backgrounds","Photograph","N","","On sale"
"dsc_200154-dsc_200159.jpg","P74F9H","Reflection of Chur West towers on the TEM building,Graubünden, Switzerland","Schweiz,Graubünden,Chur,Graubuenden,Spring,TEM,Plankis,Reflections,Building,West,Windows,Towers,Offices,Reflective,Abstract,Geometric,Patter,Urban,Monochrome,Grisons,Swiss,Town","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Abstracts and backgrounds","Photograph","N","","On sale"
"dsc_200085-dsc_200105.jpg","P74F9B","Platforms of Chur railway station, Graubünden","Switzerland,Swiss,Graubünden,Graubuenden,Chur,Bahnhof,Railway,Station,Platform,Train,Travel,SBB,Red,White,Blue Sky,Sunny,Paving,Tracks","RF","Elliott Bignell","","Chur","","0","NA","N","NA","Transport","Travel","Photograph","N","","On sale"
"dsc_200133-dsc_200141.jpg","P74F9D","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Graubuenden,Chur,Spring,TEM,Reflection,Towers,Plänkis,West,Reflections,City,Graubünden,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_199983-dsc_199991.jpg","P74F96","Grand home near the main station in Chur, Grisons","Schweiz,Graubuenden,Graubünden,mountains,switzerland,swiss,town,rhine,valley,building,Grand,Ornate,Wealthy,Home,House,Building,Street,Stone,Tramlines,Centre","RF","Elliott Bignell","Chur","Chur","","0","NA","N","NA","Architecture and interiors","Landscapes","Photograph","N","","On sale"
"dsc_199959-dsc_199967.jpg","P74F93","Buildings in the Old Town part of Chur, Graubünden","Chur,Graubünden,Schweiz,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_199992-dsc_200000.jpg","P74F97","Grand home near the main station in Chur, Grisons","Schweiz,Graubuenden,Graubünden,mountains,switzerland,swiss,town,rhine,valley,building,Grand,Ornate,Wealthy,Home,House,Building,Street,Stone,Tramlines,Centre","RF","Elliott Bignell","Chur","Chur","","0","NA","N","NA","Architecture and interiors","Landscapes","Photograph","N","","On sale"
"dsc_199977-dsc_199982.jpg","P74F95","Grand residence on the Kasernenstrasse, Chur, Grisons","Schweiz,Graubünden,Graubuenden,mountains,switzerland,swiss,town,rhine,valley,building,Spring,Kasernenstrasse,House,Building,Grand,Ornate,Wealth,Home,Residence","RF","Elliott Bignell","Chur","Kasernenstrasse, Chur, Switzerland","10/03/2017","0","NA","N","NA","Architecture and interiors","Landscapes","Photograph","N","","On sale"
